no_of_runs,mean_accuracy,standard_dev,median,word_decoder_max_epochs,word_finder_min_iters_per_epoch,word_finder_min_potential_words,word_finder_max_epochs,word_finder_max_attempts,no_of_random_letters,time_taken_in_seconds,word_finder_name,best_accuracy,best_decrypted_word_dict
150,28.866666666666667,4.102162904148251,30.0,75,50,5,3,3,0,438.6900372749951,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '0ebr0': 'kebre', '0ri0t': 'lriit', '00amy': 'foamy', '0e00ry': 'sechry'}
150,28.733333333333334,4.062707575147799,30.0,75,50,5,3,3,0,382.82667719500023,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '0ebr0': 'kebre', '0ri0t': 'lriit', '00amy': 'foamy', '0e00ry': 'cehsry'}
150,28.53333333333333,4.394423963237968,30.0,75,75,5,3,3,0,818.2250436139948,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '0ri0t': 'kriet', '00amy': 'foamy', '0ebr0': 'lebri', '0e00ry': 'hecsry'}
150,27.799999999999997,4.758602242467154,30.0,75,100,5,3,3,0,835.377826336,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '0ri0t': 'hriit', '00amy': 'foamy', '0ebr0': 'sebre', '0e00ry': 'leckry'}
150,28.26666666666667,4.597441171389231,30.0,75,125,5,3,3,0,1118.3661266630006,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0e00est': 'bequest', '0o0ey': 'money', 's00r0': 'shore', '0ri0t': 'wrist', '0ra0e0': 'draiea', '0e00ry': 'zekvry', '0ebr0': 'cebrf', '00amy': 'rlamy'}
150,29.133333333333333,4.167091700916584,30.0,75,150,5,3,3,0,1293.6341380279991,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '0e00ry': 'ceeiry', '00amy': 'foamy', '0ri0t': 'kriht', '0ebr0': 'lebrs'}
150,28.666666666666668,4.283050199992985,30.0,75,50,3,3,3,0,375.3731595870049,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'bequest', '0o0ey': 'money', 's00r0': 'score', '0ri0t': 'wrist', '0ebr0': 'debra', '00amy': 'viamy', '0ra0e0': 'hrakel', '0e00ry': 'zerfry'}
150,28.799999999999997,4.322564488632791,30.0,75,50,4,3,3,0,452.93224382000335,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '0e00ry': 'seeiry', '00amy': 'foamy', '0ebr0': 'cebrl', '0ri0t': 'kriht'}
150,27.933333333333334,4.380657096778127,30.0,75,50,5,3,3,0,390.49172963599995,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '0ebr0': 'lebri', '0ri0t': 'kriet', '00amy': 'foamy', '0e00ry': 'hecsry'}
150,28.999999999999996,4.136918413472949,30.0,75,50,6,3,3,0,418.63093738799944,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '0ri0t': 'lriet', '00amy': 'foamy', '0ebr0': 'cebri', '0e00ry': 'heskry'}
150,27.933333333333334,4.531273383801423,30.0,75,50,7,3,3,0,467.734922484,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0e00est': 'bequest', '0o0ey': 'money', 's00r0': 'scare', '0ri0t': 'wrist', '0ebr0': 'vebro', '0ra0e0': 'kraied', '0e00ry': 'fezhry', '00amy': 'lramy'}
150,28.133333333333333,4.394423963237967,30.0,75,50,5,3,3,0,373.13348761800444,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '00amy': 'foamy', '0ebr0': 'sebre', '0ri0t': 'criit', '0e00ry': 'kehlry'}
150,28.933333333333334,3.5039128016690455,30.0,75,50,5,4,3,0,462.2595288110024,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0e00est': 'bequest', 's00r0': 'shore', '0ri0t': 'wrist', '0o0ey': 'money', '00amy': 'raamy', '0e00ry': 'keivry', '0ra0e0': 'frazel', '0ebr0': 'debrc'}
150,28.999999999999996,4.597927750336605,30.0,75,50,5,5,3,0,577.4068323249958,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '00amy': 'foamy', '0e00ry': 'keeiry', '0ebr0': 'lebrs', '0ri0t': 'hrict'}
150,28.866666666666667,4.262630921316628,30.0,75,50,5,6,3,0,756.0502244970121,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0e00est': 'bequest', '0ri0t': 'wrist', '0o0ey': 'money', 's00r0': 'scarf', '00amy': 'leamy', '0ebr0': 'hebri', '0e00ry': 'zeovry', '0ra0e0': 'krader'}
150,28.866666666666667,4.102162904148251,30.0,75,50,5,7,3,0,702.4199285649956,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '0e00ry': 'ceiery', '00amy': 'foamy', '0ebr0': 'lebrk', '0ri0t': 'sriht'}
150,28.666666666666668,4.4369810564002385,30.0,75,50,5,8,3,0,802.860006900999,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0e00est': 'bequest', 's00r0': 'share', '0ri0t': 'wrist', '0o0ey': 'money', '0ebr0': 'cebro', '0e00ry': 'zeilry', '0ra0e0': 'vraked', '00amy': 'rfamy'}
150,28.133333333333333,4.077548063516949,30.0,75,50,5,3,3,0,340.9272412040009,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'bequest', 's00r0': 'share', '0ri0t': 'wrist', '0o0ey': 'money', '0e00ry': 'feiory', '00amy': 'clamy', '0ra0e0': 'drarek', '0ebr0': 'zebrv'}
150,28.46666666666667,4.7397599501227345,30.0,75,50,5,3,4,0,398.68198898999253,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '0ri0t': 'sriet', '00amy': 'foamy', '0e00ry': 'heicry', '0ebr0': 'lebrk'}
150,27.866666666666667,4.858627787977064,30.0,75,50,5,3,5,0,460.5435535160068,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'bequest', 's00r0': 'share', '0ri0t': 'wrist', '0o0ey': 'money', '0ra0e0': 'rraieo', '00amy': 'fvamy', '0e00ry': 'lezcry', '0ebr0': 'debrk'}
10,27.999999999999996,4.216370213557838,30.0,5,50,5,3,3,0,342.1014204009989,TextBlobWordFinder,30.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '0e00ry': 'keiory', '00amy': 'heamy', '0ebr0': 'sebrc', '0ri0t': 'frilt'}
20,27.999999999999996,5.231483637805969,30.0,10,50,5,3,3,0,344.29587292099313,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0e00est': 'bequest', 's00r0': 'share', '0ri0t': 'wrist', '0o0ey': 'money', '00amy': 'coamy', '0e00ry': 'feidry', '0ra0e0': 'krarez', '0ebr0': 'lebrv'}
50,28.199999999999996,5.225526045191966,30.0,25,50,5,3,3,0,340.7877673939947,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '00amy': 'foamy', '0ebr0': 'lebri', '0ri0t': 'hriet', '0e00ry': 'kecsry'}
100,28.299999999999997,4.5070091316893635,30.0,50,50,5,3,3,0,338.2501882069919,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '0e00ry': 'seeiry', '00amy': 'foamy', '0ri0t': 'krilt', '0ebr0': 'cebrh'}
150,28.866666666666667,4.417273395496285,30.0,75,50,5,3,3,0,341.425015144996,TextBlobWordFinder,40.0,{'0ala00': 'galaxy', '0ro0ec0': 'project', '0ra0e0': 'brazen', '0e00est': 'request', '0o0ey': 'dovey', 's00r0': 'swarm', '0e00ry': 'leiery', '00amy': 'foamy', '0ri0t': 'krist', '0ebr0': 'hebrc'}
200,28.999999999999996,4.253287230050015,30.0,100,50,5,3,3,0,350.77493387700815,TextBlobWordFinder,40.0,{'0ro0ec0': 'project', '0ala00': 'galaxy', '0e00est': 'request', '0ra0e0': 'brazen', '0o0ey': 'dovey', 's00r0': 'swarm', '0ri0t': 'kriit', '00amy': 'foamy', '0e00ry': 'heelry', '0ebr0': 'sebrc'}
